video|frame_number|tree_id|damage_index|bounding_box
20201001_092426.mp4|563|6919|0|"MULTIPOINT(472 860, 665 1080)"
20201006_142841.mp4|2994|20510|2|"MULTIPOINT(1824 753, 1920 873)"
20201012_143658.mp4|990|44719|2|"MULTIPOINT(893 388, 1063 646)"
20201016_155206.mp4|5871|47103|3|"MULTIPOINT(1632 701, 1788 876)"
20201007_150750.mp4|2085|28745|3|"MULTIPOINT(549 237, 759 802)"
20201012_125230.mp4|1910|39507|1|"MULTIPOINT(1347 33, 1920 848)"
20201012_143658.mp4|1198|44779|2|"MULTIPOINT(1304 835, 1366 906)"
20201008_124210.mp4|2003|38442|4|"MULTIPOINT(570 391, 607 528)"
20201001_092426.mp4|3799|9021|2|"MULTIPOINT(927 861, 1118 1036)"
20201012_125230.mp4|4609|40141|3|"MULTIPOINT(622 230, 876 493)"
20201019_162523.mp4|1327|50682|0|"MULTIPOINT(562 880, 773 1080)"
20201022_121240.mp4|3567|56806|3|"MULTIPOINT(655 583, 722 724)"
20201002_104933.mp4|1476|12789|4|"MULTIPOINT(818 1572, 976 1897)"
20201012_122211.mp4|4501|42929|4|"MULTIPOINT(1113 884, 1133 949)"
20201006_142841.mp4|2949|20446|2|"MULTIPOINT(331 881, 427 1066)"
20201007_143411.mp4|4104|27551|2|"MULTIPOINT(494 843, 611 1061)"
20201002_101554.mp4|434|10670|4|"MULTIPOINT(868 1526, 932 1863)"
20201002_104933.mp4|1390|12787|4|"MULTIPOINT(348 1605, 428 1863)"
20201005_120427.mp4|4795|18263|0|"MULTIPOINT(27 842, 216 1069)"
20201008_152542.mp4|1231|35524|2|"MULTIPOINT(371 2, 954 964)"
20201007_133013.mp4|2451|32560|3|"MULTIPOINT(1609 779, 1750 892)"
20201016_155206.mp4|3676|46393|3|"MULTIPOINT(657 98, 1195 895)"
20201006_142841.mp4|2953|20465|0|"MULTIPOINT(1484 773, 1675 993)"
